sound_type;id;duration;dom_freq;min_freq;max_freq;pace;amplitude;comments
1;001_L_GRANAM_20140620_000000_001;0,126;3716;3353;4578;3,588516746;;
1;001_L_MORTCE_20140701_080000_024;0,112;3470;2974;3674;4,012841091;;
1;001_L_VILOAM_20140622_040000_006;0,116;3498;2773;3834;4,003202562;;
1;001_L_MOIRAM_20140622_220000_009;0,121;2890;2512;4264;4,498714653;;
1;001_R_MORTCE_20140626_020000_005;0,101;3690;2486;4529;4,784688995;;
1;001_R_ROSSAM_20140626_050000_002;0,117;2923;2603;4441;4,057971014;;
2;002_L_BEARAV_20140620_000000_010;0,057;214;110;450;0;;
2;002_L_MOIRAM_20140622_150000_003;0,026;275;120;454;0;;
2;002_L_ROSSAM_20140626_040000_005;0,071;50;0;170;0;;
2;002_R_GRANAM_20140701_160000_013;0,035;74;137;809;0;;
2;002_R_MORTCE_20140704_040000_014;0,022;111;28;872;0;;
2;002_R_VILOAM_20140704_030000_006;0,155;324;0;507;0;;
3;003_L_BEARAV_20140620_040000_002;0,025;1076;290;1468;0;;
3;003_L_MOIRAM_20140622_170000_001;0,04;930;608;2769;15,03759398;;
3;003_L_ROSSAM_20140626_110000_017;0,021;388;238;736;0;;
3;003_R_GRANAM_20140701_220000_014;0,019;442;259;1356;0;;
3;003_R_MORTCE_20140704_210000_025;0,031;965;173;1000;0;;
3;003_R_VILOAM_20140626_010000_004;0,02;268;130;497;0;;
4;004_L_BEARAV_20140620_010000_013;0,014;12068;;;;;
4;004_L_BEARAV_20140620_040000_009;0,014;840;;;;;
4;004_L_VILOAM_20140622_220000_002;0,015;16579;;;;;
4;004_R_BEARAV_20140626_140000_006;0,016;13957;;;;;
4;004_R_MOIRAM_20140622_100000_002;0,021;7145;;;;;
5;005_L_BEARAV_20140620_010000_019;0,02;1192;727;2345;24,3902439;;
5;005_L_MOIRAM_20140622_120000_002;0,018;2032;500;2319;0;;
5;005_L_ROSSAM_20140626_200000_008;0,014;490;221;648;0;;
5;005_R_GRANAM_20140701_070000_014;0,023;2858;2484;3067;0;;
5;005_R_MORTCE_20140704_190000_022;0,018;953;732;1518;0;;
5;005_R_VILOAM_20140620_110000_004;0,019;1486;290;7000;0;;
6;006_L_ROSSAM_20140704_130000_017;0,021;3871;3830;4633;0;;
7;007_L_BEARAV_20140620_100000_002;0,018;420;361;2052;0;;
7;007_L_MOIRAM_20140622_010000_013;0,017;2421;3858;2146;0;;
7;007_L_ROSSAM_20140626_150000_014;0,013;4433;3658;4398;2,901915264;;
7;007_R_GRANAM_20140701_190000_004;0,015;5404;3679;7091;0;;
7;007_R_MORTCE_20140704_090000_022;0,015;2941;1817;3026;0;;
7;007_R_VILOAM_20140704_170000_002;0,016;6504;1145;12972;1,360914535;;
8;008_L_GRANAM_20140620_140000_065;0,072;389;140;500;0;;
8;008_L_MORTCE_20140622_010000_002;0,107;196;170;250;0;;
8;008_L_VILOAM_20140626_070000_035;0,11;98;;;;;Hard to define
8;008_R_BEARAV_20140701_030000_011;0,06;201;120;480;0;;
8;008_R_MOIRAM_20140704_140000_007;0,092;729;600;3196;2,645502646;;
8;008_R_ROSSAM_20140626_130000_038;0,199;263;139;514;0;;
9;009_L_GRANAM_20140620_120000_064;1,603;3287;2080;5000;7;;I don't get why duration that long for this sound 
9;009_L_MORTCE_20140622_120000_006;0,141;4467;4200;5035;4;;not sure
9;009_L_VILOAM_20140701_200000_002;0,409;3357;2980;3757;17,5;;
9;009_R_BEARAV_20140626_080000_005;0,086;3253;3152;3860;0;;
9;009_R_MOIRAM_20140704_090000_008;1,933;3498;3433;3558;1,919385797;;
9;009_R_ROSSAM_20140701_090000_016;0,129;3704;3560;3961;2,834868887;;
10;010_R_MOIRAM_20140701_060000_004;0,481;5734;4285;6848;16,63201663;;
11;011_L_BEARAV_20140620_040000_009;0,015;838;203;12087;16,39344262;;
11;011_L_MORTCE_20140626_000000_012;0,013;9421;1062;15401;0;;
11;011_L_VILOAM_20140626_080000_031;0,017;9953;2127;12820;0;;
11;011_R_GRANAM_20140704_140000_004;0,018;4019;1907;22000;0;;
11;011_R_MOIRAM_20140622_100000_002;0,02;7145;732;22000;0;;
11;011_R_ROSSAM_20140622_220000_015;0,018;7649;4357;11100;0;;
12;012_L_GRANAM_20140626_040000_021;1,519;3186;2689;4072;4,043126685;;
12;012_L_MORTCE_20140704_080000_031;0,849;3194;2638;4356;18,86792453;;
12;012_L_VILOAM_20140620_120000_025;0,95;3067;1781;7963;7,731958763;;
12;012_R_MOIRAM_20140704_080000_008;3,795;3221;2178;3420;9,646302251;;
12;012_R_MORTCE_20140622_050000_008;0,989;2909;1931;4456;19,88636364;;
12;012_L_ROSSAM_20140626_000000_011;1,306;3503;3340;3886;16,07717042;;
13;013_L_VILOAM_20140620_230000_012;0,085;2408;1991;4285;0;;
14;014_L_MORTCE_20140622_120000_002;0,42;9521;8355;16568;1,761892776;;
14;014_L_MORTCE_20140701_160000_008;1,04;6903;5991;6980;0;;pace could also be 2/0,852 but not coherent with duration
14;014_R_GRANAM_20140622_090000_017;1,327;10748;9975;11319;20,97902098;;
14;014_R_VILOAM_20140704_160000_010;3,036;4288;3094;9239;0,3;;
15;015_L_MOIRAM_20140701_140000_003;3,768;3457;;;;;
15;015_L_ROSSAM_20140620_160000_007;4,825;7982;;;;;
15;015_L_VILOAM_20140704_120000_002;10;6437;;;;;
15;015_R_MORTCE_20140622_170000_004;1,937;3636;;;;;
15;015_R_VILOAM_20140620_130000_002;0,503;9324;;;;;
15;015_L_MORTCE_20140622_120000_019;0,62;8201;;;;;
16;016_L_BEARAV_20140701_130000_007;4,336;6937;;;;;
16;016_L_BEARAV_20140701_130000_027;6,132;7997;;;;;
16;016_L_VILOAM_20140626_180000_001;10;8982;;;;;
16;016_R_BEARAV_20140622_100000_005;0,566;10553;;;;;
16;016_R_BEARAV_20140622_150000_042;1,767;2594;;;;;
16;016_R_BEARAV_20140704_130000_018;0,585;8100;;;;;
17;017_L_BEARAV_20140620_110000_022;1,098;13491;;;;;
17;017_L_MORTCE_20140622_120000_021;0,118;15231;;;;;
17;017_L_VILOAM_20140626_170000_008;1,094;8988;;;;;
17;017_L_VILOAM_20140704_010000_041;0,967;13284;;;;;
17;017_R_GRANAM_20140701_130000_015;0,4;14353;;;;;
17;017_R_ROSSAM_20140626_160000_016;0,532;7035;;;;;
18;018_R_VILOAM_20140620_110000_012;0,39;1468;;;;;
19;019_L_GRANAM_20140620_120000_036;4,655;2712;;;;;
19;019_L_MORTCE_20140620_160000_004;3,818;951;;;;;
19;019_L_MORTCE_20140620_170000_005;3,005;1877;;;;;
19;019_L_MORTCE_20140704_140000_018;2,085;4245;;;;;
19;019_R_MORTCE_20140704_140000_022;1,806;2285;;;;;
19;019_R_VILOAM_20140620_120000_043;1,369;1354;;;;;
20;020_L_MORTCE_20140626_180000_004;0,052;13682;;;;;
21;021_L_GRANAM_20140620_170000_003;0,183;355;;;;;
21;021_L_MORTCE_20140626_050000_035;0,253;375;;;;;
21;021_L_VILOAM_20140704_210000_001;0,454;2702;;;;;
21;021_R_BEARAV_20140622_070000_001;0,23;5541;;;;;
21;021_R_MOIRAM_20140626_130000_016;0,412;131;;;;;
21;021_R_ROSSAM_20140620_190000_007;0,295;208;;;;;
22;022_L_GRANAM_20140622_070000_009;0,125;2381;;;;;
22;022_L_MORTCE_20140620_020000_011;0,355;3543;;;;;
22;022_L_VILOAM_20140701_200000_007;0,088;10942;;;;;
22;022_R_MOIRAM_20140626_080000_024;1,014;904;;;;;
22;022_R_ROSSAM_20140704_110000_021;0,2;3918;;;;;
22;022_R_VILOAM_20140704_060000_030;0,081;5271;;;;;
23;023_L_BEARAV_20140704_000000_005;0,4;383;;;;;
23;023_L_MOIRAM_20140620_190000_026;0,4;1080;;;;;
23;023_L_VILOAM_20140626_040000_020;0,176;1878;;;;;
23;023_R_GRANAM_20140701_070000_003;0,424;1704;;;;;
23;023_R_MORTCE_20140704_020000_035;0,1;1316;;;;;
23;023_R_VILOAM_20140622_230000_017;0,145;1210;;;;;
24;024_R_VILOAM_20140626_140000_002;0,079;13156;;;;;
24;024_R_VILOAM_20140626_140000_002;0,123;13060;;;;;
24;024_R_VILOAM_20140626_140000_002;0,117;12762;;;;;
24;024_R_VILOAM_20140626_140000_002;0,1;13309;;;;;
24;024_R_VILOAM_20140626_140000_002;0,138;13506;;;;;
24;024_R_VILOAM_20140626_140000_002;0,076;13328;;;;;
25;025_L_BEARAV_20140626_100000_006;0,015;8796;;;;;
25;025_L_MORTCE_20140620_190000_017;0,014;13997;;;;;
25;025_L_ROSSAM_20140620_000000_011;0,014;15685;;;;;
25;025_R_GRANAM_20140701_160000_010;0,015;11280;;;;;
25;025_R_MOIRAM_20140622_100000_003;0,014;8389;;;;;
25;025_R_VILOAM_20140704_220000_007;0,015;14528;;;;;
26;026_R_VILOAM_20140622_130000_033;0,016;4703;;;;;
26;026_R_VILOAM_20140626_140000_001;0,021;2027;;;;;
26;026_R_VILOAM_20140626_140000_021;0,018;1605;;;;;
27;027_L_MOIRAM_20140704_090000_007;2,607;9359;;;;;
27;027_L_MOIRAM_20140704_090000_008;2,119;9372;;;;;
27;027_L_MOIRAM_20140704_090000_012;1,601;10392;;;;;
27;027_L_MOIRAM_20140704_090000_013;1,254;10392;;;;;
27;027_L_ROSSAM_20140626_140000_007;1,002;8433;;;;;
27;027_R_BEARAV_20140704_100000_102;0,685;9596;;;;;
28;028_R_MOIRAM_20140622_130000_006;0,611;9049;;;;;
28;028_R_MOIRAM_20140622_130000_008;0,614;9011;;;;;
28;028_R_MOIRAM_20140622_130000_009;0,617;9076;;;;;
28;028_R_MOIRAM_20140622_130000_012;0,611;9062;;;;;
29;029_L_MOIRAM_20140626_130000_006;0,613;3463;;;;;
29;029_L_VILOAM_20140622_140000_007;0,251;2415;;;;;
29;029_R_MORTCE_20140622_190000_007;0,333;3294;;;;;
29;029_L_VILOAM_20140704_030000_025;0,31;7999;;;;;
29;029_R_VILOAM_20140701_120000_006;0,4;5557;;;;;
29;029_R_VILOAM_20140622_160000_040;0,4;5668;;;;;
30;030_R_VILOAM_20140622_110000_005;0,038;9150;;;;;
30;030_R_VILOAM_20140622_110000_007;0,049;9223;;;;;
30;030_R_VILOAM_20140622_110000_011;0,043;9015;;;;;
31;031_L_MOIRAM_20140622_050000_001;0,193;3449;;;;;
31;031_L_MOIRAM_20140626_010000_003;0,123;3335;;;;;
31;031_L_MOIRAM_20140701_030000_001;0,157;3402;;;;;
31;031_L_MOIRAM_20140626_050000_001;0,178;3262;;;;;
31;031_L_MOIRAM_20140701_050000_009;0,145;3423;;;;;
31;031_L_MOIRAM_20140701_100000_002;0,156;4081;;;;;
32;032_R_MORTCE_20140626_150000_009;0,135;15302;;;;;
32;032_R_VILOAM_20140626_130000_004;0,203;15053;;;;;
33;033_L_MORTCE_20140704_130000_004;0,115;15128;;;;;
33;033_L_MORTCE_20140704_170000_016;0,119;8931;;;;;
33;033_L_VILOAM_20140701_140000_002;0,167;7934;;;;;
33;033_R_BEARAV_20140620_110000_002;0,112;9949;;;;;
33;033_R_BEARAV_20140622_100000_001;0,07;11247;;;;;
33;033_R_VILOAM_20140701_160000_005;0,153;5443;;;;;
34;034_L_GRANAM_20140626_120000_017;0,549;5360;;;;;
34;034_L_ROSSAM_20140620_130000_008;1,921;10060;;;;;
34;034_L_VILOAM_20140701_180000_004;1,296;6840;;;;;
34;034_R_BEARAV_20140620_100000_016;0,238;9228;;;;;
34;034_R_MOIRAM_20140701_140000_001;1,028;10144;;;;;
34;034_R_MORTCE_20140622_140000_007;0,829;9580;;;;;
35;035_L_MOIRAM_20140704_130000_011;0,065;6773;;;;;
35;035_L_MORTCE_20140620_130000_015;0,075;8935;;;;;
35;035_L_VILOAM_20140622_180000_005;0,05;6351;;;;;
35;035_R_BEARAV_20140620_100000_031;0,141;11885;;;;;
35;035_R_ROSSAM_20140704_020000_013;0,026;5610;;;;;
35;035_R_VILOAM_20140701_150000_031;0,059;5395;;;;;
36;036_L_MORTCE_20140620_130000_011;0,91;6245;;;;;
37;037_L_GRANAM_20140626_050000_002;0,123;9406;;;;;
37;037_L_MORTCE_20140622_110000_020;0,065;8930;;;;;
37;037_L_VILOAM_20140620_130000_004;0,056;5730;;;;;
37;037_R_BEARAV_20140701_090000_003;0,039;10137;;;;;
37;037_R_MOIRAM_20140704_090000_019;0,025;11846;;;;;
37;037_R_ROSSAM_20140620_200000_020;0,046;15150;;;;;
38;038_L_MORTCE_20140704_140000_014;0,197;13290;;;;;
38;038_L_ROSSAM_20140620_140000_005;0,194;11688;;;;;
38;038_L_VILOAM_20140620_200000_009;0,291;11443;;;;;
38;038_R_BEARAV_20140622_120000_039;0,159;10958;;;;;
38;038_R_GRANAM_20140626_130000_013;0,182;13371;;;;;
38;038_R_MOIRAM_20140622_120000_014;0,211;11323;;;;;
39;039_R_VILOAM_20140626_140000_011;0,4;2203;;;;;
39;039_R_VILOAM_20140626_140000_015;0,4;3093;;;;;
39;039_R_VILOAM_20140626_140000_023;0,4;2571;;;;;
39;039_R_VILOAM_20140626_140000_025;0,4;2548;;;;;
39;039_R_VILOAM_20140626_140000_031;0,4;2561;;;;;
39;039_R_VILOAM_20140626_140000_033;0,4;2960;;;;;
40;040_L_VILOAM_20140701_150000_016;0,111;2306;;;;;
40;040_R_GRANAM_20140622_130000_003;0,167;2414;;;;;
40;040_R_VILOAM_20140620_200000_009;0,047;2291;;;;;
40;040_R_VILOAM_20140626_220000_015;0,039;1816;;;;;
40;040_R_VILOAM_20140620_230000_020;0,132;2466;;;;;
40;040_R_VILOAM_20140622_190000_031;0,12;3489;;;;;
41;041_L_GRANAM_20140704_150000_003;1,402;2642;;;;;
41;041_L_MORTCE_20140704_040000_047;2,602;4959;;;;;
41;041_L_VILOAM_20140626_030000_011;2,713;5509;;;;;
41;041_R_BEARAV_20140620_220000_007;2,121;3770;;;;;
41;041_R_MOIRAM_20140622_220000_009;0,361;1927;;;;;
41;041_R_ROSSAM_20140704_030000_007;4,007;2527;;;;;
42;042_L_GRANAM_20140701_070000_002;0,302;566;;;;;
42;042_L_MOIRAM_20140704_010000_017;0,181;2592;;;;;
42;042_L_VILOAM_20140620_220000_029;0,4;1882;;;;;
42;042_R_BEARAV_20140622_000000_032;0,301;2030;;;;;
42;042_R_VILOAM_20140622_010000_017;0,527;1744;;;;;
42;042_L_VILOAM_20140622_010000_009;0,29;2021;;;;;
43;043_L_BEARAV_20140622_030000_002;0,192;420;;;;;
43;043_L_GRANAM_20140704_020000_004;0,265;2248;;;;;
43;043_L_MORTCE_20140704_030000_026;0,539;2215;;;;;
43;043_L_VILOAM_20140620_200000_004;0,579;2281;;;;;
43;043_R_BEARAV_20140701_220000_004;0,189;537;;;;;
43;043_L_BEARAV_20140626_040000_002;0,179;523;;;;;
44;044_L_GRANAM_20140704_200000_008;0,016;3851;;;;;
44;044_L_MOIRAM_20140701_190000_006;0,016;4515;;;;;
44;044_L_ROSSAM_20140626_140000_008;0,019;4224;;;;;
44;044_R_BEARAV_20140622_090000_040;0,015;5674;;;;;
44;044_R_MORTCE_20140620_120000_001;0,019;3918;;;;;
44;044_R_VILOAM_20140704_200000_001;0,029;3228;;;;;
45;045_R_BEARAV_20140620_170000_011;10;115;;;;;
45;045_R_GRANAM_20140622_120000_001;10;140;;;;;
45;045_R_MOIRAM_20140701_150000_003;10;386;;;;;
45;045_R_ROSSAM_20140622_200000_007;10;89;;;;;
45;045_L_BEARAV_20140626_110000_001;10;218;;;;;
45;045_R_VILOAM_20140701_110000_004;6,166;100;;;;;
46;046_L_BEARAV_20140622_120000_024;0,054;16841;;;;;
46;046_L_VILOAM_20140701_150000_001;0,194;16607;;;;;
46;046_R_GRANAM_20140626_170000_003;0,113;19443;;;;;
46;046_R_MOIRAM_20140704_120000_008;0,087;20217;;;;;
46;046_R_MORTCE_20140620_130000_003;0,165;15329;;;;;
46;046_R_BEARAV_20140626_220000_030;0,081;16446;;;;;
47;047_L_VILOAM_20140701_140000_007;0,095;2674;;;;;
47;047_L_VILOAM_20140701_140000_008;0,088;2291;;;;;
47;047_L_VILOAM_20140701_140000_009;0,103;2619;;;;;
47;047_L_VILOAM_20140701_140000_010;0,151;2699;;;;;
47;047_L_VILOAM_20140701_140000_011;0,111;2607;;;;;
47;047_R_VILOAM_20140626_020000_017;0,349;2482;;;;;
48;048_R_BEARAV_20140626_100000_012;10;11069;;;;;
48;048_R_BEARAV_20140626_110000_007;3,792;11077;;;;;
48;048_R_BEARAV_20140626_120000_017;0,675;11238;;;;;
48;048_R_BEARAV_20140626_160000_003;10;11262;;;;;
49;049_L_ROSSAM_20140626_140000_004;0,295;7167;;;;;
49;049_R_MOIRAM_20140704_130000_004;0,391;13391;;;;;
49;049_R_MORTCE_20140626_140000_001;0,728;5914;;;;;
49;049_R_ROSSAM_20140704_150000_002;0,351;10424;;;;;
49;049_R_VILOAM_20140620_120000_041;0,249;5547;;;;;
49;049_R_MORTCE_20140704_130000_016;0,267;12235;;;;;
50;050_L_GRANAM_20140626_160000_007;0,659;5932;;;;;
50;050_L_MORTCE_20140622_120000_011;0,844;11728;;;;;
50;050_R_BEARAV_20140620_090000_004;2,648;9781;;;;;
50;050_R_MOIRAM_20140622_120000_021;2,993;4840;;;;;
50;050_R_MORTCE_20140626_120000_005;0,493;6248;;;;;
50;050_R_VILOAM_20140626_170000_059;0,766;4191;;;;;
51;051_L_BEARAV_20140701_180000_003;0,491;501;;;;;
51;051_L_MORTCE_20140622_200000_009;0,101;519;;;;;
51;051_L_VILOAM_20140704_070000_004;0,257;485;;;;;
51;051_R_BEARAV_20140704_200000_027;0,271;504;;;;;
51;051_R_MORTCE_20140622_200000_005;0,447;535;;;;;
51;051_R_VILOAM_20140704_090000_018;0,429;479;;;;;
52;052_R_BEARAV_20140620_110000_001;0,038;9954;;;;;
52;052_R_MOIRAM_20140622_130000_002;0,065;10161;;;;;
53;053_L_VILOAM_20140620_170000_015;0,211;2705;;;;;
53;053_R_BEARAV_20140620_110000_005;0,316;11255;;;;;
53;053_R_BEARAV_20140620_120000_005;0,423;11259;;;;;
53;053_R_BEARAV_20140620_140000_003;0,299;10870;;;;;
53;053_R_MOIRAM_20140704_140000_002;0,097;6744;;;;;
53;053_R_MOIRAM_20140704_140000_012;0,292;7107;;;;;
54;054_L_BEARAV_20140620_020000_003;0,022;971;;;;;
54;054_L_GRANAM_20140622_140000_007;0,191;3581;;;;;
54;054_L_MORTCE_20140626_060000_013;0,02;6512;;;;;
54;054_R_MOIRAM_20140701_150000_007;0,034;1438;;;;;
54;054_R_ROSSAM_20140704_160000_005;0,016;5959;;;;;
54;054_R_VILOAM_20140704_070000_009;0,022;2857;;;;;
55;055_R_BEARAV_20140701_100000_005;0,096;8164;;;;;
55;055_R_BEARAV_20140701_110000_004;0,062;7560;;;;;
55;055_R_BEARAV_20140701_120000_004;0,05;8214;;;;;
55;055_R_BEARAV_20140701_150000_005;0,175;8525;;;;;
55;055_R_MORTCE_20140704_140000_008;0,154;9374;;;;;
55;055_R_BEARAV_20140701_150000_006;0,124;8763;;;;;
56;056_R_BEARAV_20140701_100000_008;1,714;10908;;;;;
56;056_R_BEARAV_20140701_110000_018;1,116;15658;;;;;
56;056_R_BEARAV_20140701_120000_005;1,155;15550;;;;;
56;056_R_BEARAV_20140701_150000_004;2,184;15642;;;;;
57;057_L_BEARAV_20140701_230000_010;10;312;;;;;
57;057_L_GRANAM_20140704_170000_001;10;200;;;;;
57;057_R_BEARAV_20140701_230000_011;10;200;;;;;
57;057_R_GRANAM_20140620_140000_008;10;200;;;;;
57;057_R_GRANAM_20140704_180000_002;6,553;200;;;;;
57;057_R_VILOAM_20140704_170000_007;6,215;200;;;;;
58;058_L_MORTCE_20140622_120000_020;0,169;14984;;;;;
58;058_L_VILOAM_20140622_180000_015;0,4;13513;;;;;
58;058_R_BEARAV_20140704_100000_026;0,171;9936;;;;;
58;058_R_BEARAV_20140704_130000_008;0,62;8065;;;;;
58;058_L_BEARAV_20140626_200000_009;0,16;11142;;;;;
58;058_L_BEARAV_20140620_090000_011;0,462;7995;;;;;
59;059_L_MORTCE_20140620_140000_004;1,407;4365;;;;;
