sound_type;id;duration;dom_freq;min_freq;max_freq;pace;amplitude;comments
59;059_L_MORTCE_20140620_140000_019;0,696;1260;;;;;
59;059_L_MORTCE_20140620_150000_004;0,4;2075;;;;;
59;059_L_MORTCE_20140620_150000_011;0,703;2083;;;;;
59;059_L_MORTCE_20140620_150000_032;0,523;2109;;;;;
59;059_R_VILOAM_20140622_170000_038;0,4;3536;;;;;
60;060_L_GRANAM_20140622_160000_001;0,498;4457;;;;;
60;060_L_MOIRAM_20140620_110000_008;0,264;3136;;;;;
60;060_L_ROSSAM_20140704_120000_013;0,971;6652;;;;;
60;060_R_BEARAV_20140704_100000_092;1,372;8348;;;;;
60;060_R_MORTCE_20140701_150000_013;1,943;5906;;;;;
60;060_R_VILOAM_20140701_130000_033;2,122;2912;;;;;
61;061_L_MORTCE_20140620_080000_015;0,321;10908;;;;;
61;061_L_MORTCE_20140620_210000_008;0,09;13241;;;;;
61;061_R_BEARAV_20140704_110000_005;0,176;10060;;;;;
61;061_R_BEARAV_20140704_110000_021;0,051;9908;;;;;
61;061_R_BEARAV_20140704_120000_004;0,048;10035;;;;;
61;061_R_BEARAV_20140704_120000_008;0,114;10175;;;;;
62;062_L_BEARAV_20140704_170000_001;10;139;;;;;
62;062_L_MOIRAM_20140622_160000_001;10;989;;;;;
62;062_L_ROSSAM_20140704_200000_001;10;4779;;;;;
62;062_R_GRANAM_20140701_230000_001;10;476;;;;;
62;062_R_MORTCE_20140704_180000_001;10;832;;;;;
62;062_R_VILOAM_20140704_180000_001;10;395;;;;;
63;063_L_GRANAM_20140620_100000_014;0,276;2801;;;;;
63;063_L_MORTCE_20140622_060000_010;0,025;8877;;;;;
63;063_L_VILOAM_20140626_230000_016;0,123;12723;;;;;
63;063_R_BEARAV_20140704_100000_101;0,016;14377;;;;;
63;063_R_MOIRAM_20140622_180000_005;0,017;6428;;;;;
63;063_R_VILOAM_20140626_020000_015;0,048;6181;;;;;
64;064_L_BEARAV_20140620_010000_019;0,014;670;;;;;
64;064_L_BEARAV_20140626_170000_005;0,015;647;;;;;
64;064_L_BEARAV_20140701_110000_005;0,016;6528;;;;;
64;064_L_BEARAV_20140704_220000_003;0,017;507;;;;;
64;064_L_GRANAM_20140620_030000_004;0,018;2188;;;;;
64;064_L_GRANAM_20140704_200000_022;0,015;2254;;;;;
65;065_L_BEARAV_20140620_140000_005;0,259;15469;;;;;
65;065_L_BEARAV_20140620_140000_006;0,31;15327;;;;;
65;065_L_BEARAV_20140620_140000_007;0,235;16757;;;;;
66;066_L_VILOAM_20140701_130000_004;0,383;3237;;;;;
66;066_L_VILOAM_20140701_130000_006;0,373;3089;;;;;
66;066_L_VILOAM_20140701_130000_009;0,383;2712;;;;;
66;066_R_VILOAM_20140626_170000_006;0,422;4785;;;;;
66;066_R_VILOAM_20140626_170000_027;0,33;4817;;;;;
66;066_R_VILOAM_20140626_170000_061;0,612;4779;;;;;
67;067_L_BEARAV_20140620_200000_001;0,955;1411;;;;;
68;068_L_BEARAV_20140620_200000_005;0,158;8944;;;;;
68;068_L_BEARAV_20140620_220000_001;0,198;7407;;;;;
68;068_L_BEARAV_20140704_100000_004;0,227;11062;;;;;
68;068_L_BEARAV_20140704_120000_007;0,056;10297;;;;;
68;068_L_BEARAV_20140704_130000_003;0,384;11678;;;;;
68;068_L_GRANAM_20140620_120000_004;0,208;14433;;;;;
69;069_L_BEARAV_20140622_110000_025;0,349;2995;;;;;
69;069_L_BEARAV_20140622_110000_029;0,133;3019;;;;;
69;069_L_BEARAV_20140701_120000_058;0,372;3718;;;;;
69;069_L_BEARAV_20140701_180000_012;0,329;3097;;;;;
69;069_L_GRANAM_20140620_020000_007;0,417;1618;;;;;
69;069_L_GRANAM_20140622_220000_004;0,687;1703;;;;;
70;070_L_BEARAV_20140626_140000_001;0,025;1864;;;;;
70;070_L_BEARAV_20140701_150000_001;0,024;4946;;;;;
70;070_L_BEARAV_20140701_180000_001;0,026;3336;;;;;
70;070_L_GRANAM_20140626_120000_001;0,024;3746;;;;;
70;070_L_GRANAM_20140626_130000_001;0,033;3678;;;;;
71;071_L_BEARAV_20140620_150000_004;0,254;8482;;;;;
71;071_L_BEARAV_20140622_170000_021;0,177;8433;;;;;
71;071_L_BEARAV_20140701_170000_001;0,261;2693;;;;;
71;071_L_BEARAV_20140704_000000_053;0,163;10906;;;;;
71;071_R_MOIRAM_20140620_140000_009;0,178;12861;;;;;
71;071_R_VILOAM_20140626_090000_016;0,077;3954;;;;;
72;072_L_BEARAV_20140704_090000_015;0,216;10358;;;;;
72;072_L_BEARAV_20140704_090000_019;0,201;10206;;;;;
72;072_L_BEARAV_20140704_090000_023;0,085;10148;;;;;
72;072_L_BEARAV_20140704_090000_027;0,137;10415;;;;;
72;072_L_BEARAV_20140704_090000_029;0,111;10168;;;;;
72;072_L_ROSSAM_20140701_030000_001;0,062;7301;;;;;
73;073_L_MORTCE_20140620_140000_003;0,676;1190;;;;;
73;073_L_MORTCE_20140704_170000_035;2,555;4279;;;;;
73;073_R_MOIRAM_20140626_020000_004;0,137;2627;;;;;
73;073_R_MORTCE_20140622_190000_010;0,537;6037;;;;;
73;073_R_VILOAM_20140620_130000_001;0,138;6733;;;;;
73;073_R_VILOAM_20140701_170000_015;0,713;1658;;;;;
74;074_L_GRANAM_20140620_020000_010;3,519;329;;;;;
74;074_L_GRANAM_20140626_100000_001;10;600;;;;;
74;074_R_GRANAM_20140622_170000_002;10;394;;;;;
74;074_R_GRANAM_20140701_200000_001;10;109;;;;;
74;074_R_GRANAM_20140704_140000_001;10;600;;;;;
74;074_R_VILOAM_20140620_160000_001;10;609;;;;;
75;075_L_GRANAM_20140620_140000_017;0,025;2544;;;;;
75;075_L_MORTCE_20140622_080000_024;0,022;7578;;;;;
75;075_L_ROSSAM_20140626_120000_003;0,018;4433;;;;;
75;075_R_GRANAM_20140701_050000_004;0,015;1973;;;;;
75;075_R_MOIRAM_20140701_140000_014;0,016;6431;;;;;
75;075_L_VILOAM_20140704_050000_009;0,019;5468;;;;;
76;076_L_GRANAM_20140620_040000_027;0,136;2685;;;;;
76;076_L_GRANAM_20140620_040000_027;0,151;3698;;;;;
76;076_L_GRANAM_20140620_040000_027;0,116;2388;;;;;
76;076_L_GRANAM_20140620_040000_027;0,127;3712;;;;;
77;077_L_GRANAM_20140620_100000_018;0,057;2681;;;;;
77;077_L_MOIRAM_20140701_120000_001;0,023;3458;;;;;
77;077_L_MORTCE_20140701_210000_006;0,025;4168;;;;;
77;077_L_VILOAM_20140622_020000_022;0,039;3936;;;;;
77;077_R_VILOAM_20140626_050000_004;0,085;1876;;;;;
77;077_R_VILOAM_20140626_080000_007;0,071;3845;;;;;
78;078_L_GRANAM_20140620_120000_001;10;2717;;;;;
78;078_L_GRANAM_20140620_140000_001;10;2652;;;;;
78;078_L_GRANAM_20140620_170000_002;10;1513;;;;;
78;078_L_GRANAM_20140622_140000_002;10;2206;;;;;
78;078_R_GRANAM_20140626_160000_002;10;1718;;;;;
78;078_R_VILOAM_20140622_170000_002;10;1897;;;;;
79;079_L_GRANAM_20140622_150000_001;10;200;;;;;
79;079_R_GRANAM_20140704_170000_029;4,025;109;;;;;
79;079_R_MOIRAM_20140626_170000_008;6,207;225;;;;;
79;079_R_MOIRAM_20140626_170000_013;1,459;200;;;;;
79;079_R_MOIRAM_20140626_170000_016;2,909;300;;;;;
80;080_L_VILOAM_20140620_130000_008;1,888;2212;;;;;
80;080_L_VILOAM_20140701_150000_004;4,041;10323;;;;;
80;080_L_VILOAM_20140701_150000_009;2,803;11244;;;;;
80;080_L_VILOAM_20140701_150000_015;4,072;9543;;;;;
80;080_L_VILOAM_20140701_150000_018;0,346;11028;;;;;
80;080_R_MORTCE_20140620_150000_018;3,658;6432;;;;;
81;081_L_GRANAM_20140622_150000_014;2,044;2683;;;;;
82;082_L_MOIRAM_20140622_150000_004;0,322;3877;;;;;
82;082_L_MORTCE_20140626_140000_007;0,125;4395;;;;;
82;082_L_VILOAM_20140620_100000_011;0,05;3346;;;;;
82;082_R_MOIRAM_20140701_140000_016;0,386;3659;;;;;
82;082_R_MORTCE_20140622_180000_020;1,423;3216;;;;;
82;082_R_VILOAM_20140704_130000_001;0,517;3798;;;;;
83;083_L_GRANAM_20140626_120000_002;0,692;5400;;;;;
83;083_L_GRANAM_20140626_120000_007;0,401;7297;;;;;
83;083_L_GRANAM_20140626_120000_021;0,509;5397;;;;;
84;084_L_BEARAV_20140620_140000_008;1,224;9309;;;;;
84;084_L_ROSSAM_20140622_120000_002;1,675;7833;;;;;
84;084_R_MOIRAM_20140626_130000_006;3,153;5375;;;;;
84;084_R_MORTCE_20140704_120000_012;1,381;6978;;;;;
84;084_R_VILOAM_20140626_140000_004;1,116;5285;;;;;
84;084_L_MORTCE_20140626_120000_016;1,632;8985;;;;;
85;085_L_VILOAM_20140622_030000_029;0,062;2748;;;;;
85;085_R_MOIRAM_20140704_060000_009;0,045;2138;;;;;
85;085_R_MORTCE_20140620_110000_005;0,165;1594;;;;;
85;085_R_MORTCE_20140620_110000_015;0,386;1580;;;;;
85;085_R_MORTCE_20140620_110000_017;0,438;1628;;;;;
85;085_R_MORTCE_20140620_110000_020;0,18;1697;;;;;
86;086_L_ROSSAM_20140704_140000_001;2,431;12651;;;;;
87;087_L_MORTCE_20140620_120000_005;1,41;6472;;;;;
87;087_L_MORTCE_20140620_120000_008;1,378;6301;;;;;
87;087_L_MORTCE_20140620_120000_012;1,299;6459;;;;;
87;087_L_MORTCE_20140620_120000_021;1,481;6440;;;;;
87;087_L_MORTCE_20140620_180000_004;1,622;1869;;;;;
87;087_L_ROSSAM_20140701_150000_009;0,682;6585;;;;;
88;088_L_BEARAV_20140626_090000_002;0,02;8580;;;;;
88;088_L_MORTCE_20140620_090000_009;0,023;8052;;;;;
88;088_L_ROSSAM_20140622_160000_010;0,035;10909;;;;;
88;088_L_VILOAM_20140701_120000_009;0,04;7491;;;;;
88;088_R_MORTCE_20140701_130000_012;0,039;9867;;;;;
88;088_R_VILOAM_20140704_150000_015;0,025;8960;;;;;
89;089_L_MORTCE_20140704_080000_014;0,444;1488;;;;;
89;089_R_MORTCE_20140704_000000_001;1,028;1118;;;;;
89;089_R_MORTCE_20140704_030000_006;0,357;1363;;;;;
89;089_R_MORTCE_20140704_050000_023;0,846;1383;;;;;
89;089_R_MORTCE_20140704_070000_042;0,753;1424;;;;;
89;089_R_MORTCE_20140704_080000_006;1,488;1295;;;;;
90;090_L_VILOAM_20140704_130000_022;0,293;8424;;;;;
90;090_R_VILOAM_20140626_170000_002;0,211;6120;;;;;
90;090_R_VILOAM_20140626_170000_052;0,321;6295;;;;;
90;090_R_VILOAM_20140626_170000_056;0,027;8201;;;;;
90;090_R_VILOAM_20140704_130000_005;0,485;2416;;;;;
90;090_R_VILOAM_20140704_140000_001;0,195;2386;;;;;
91;091_R_MORTCE_20140701_000000_002;0,213;946;;;;;
92;092_L_MOIRAM_20140620_000000_005;0,821;4958;;;;;
92;092_L_ROSSAM_20140622_040000_002;0,768;7854;;;;;
92;092_L_VILOAM_20140620_080000_014;1,161;6374;;;;;
92;092_R_MOIRAM_20140704_120000_006;0,844;13363;;;;;
92;092_R_ROSSAM_20140626_160000_003;0,861;488;;;;;
92;092_R_VILOAM_20140620_200000_007;0,804;1198;;;;;
93;093_L_BEARAV_20140626_150000_001;0,335;4711;;;;;
93;093_L_MOIRAM_20140622_000000_009;0,106;831;;;;;
93;093_L_MORTCE_20140626_060000_011;0,157;2487;;;;;
93;093_L_MORTCE_20140701_100000_018;0,096;1487;;;;;
93;093_L_MORTCE_20140704_070000_005;0,055;1741;;;;;
93;093_R_ROSSAM_20140701_070000_010;0,068;2332;;;;;
94;094_L_MORTCE_20140620_040000_004;0,168;8395;;;;;
94;094_L_MORTCE_20140626_090000_021;0,447;5979;;;;;
94;094_L_ROSSAM_20140701_160000_012;0,181;6767;;;;;
94;094_R_MORTCE_20140620_090000_012;0,239;8125;;;;;
94;094_R_VILOAM_20140626_200000_046;0,056;13921;;;;;
94;094_L_MORTCE_20140704_200000_017;0,126;5931;;;;;
95;095_L_MORTCE_20140620_120000_006;0,617;9913;;;;;
95;095_R_VILOAM_20140622_160000_006;0,142;11065;;;;;
95;095_R_VILOAM_20140626_140000_003;0,39;9296;;;;;
95;095_R_VILOAM_20140626_140000_024;2,351;9303;;;;;
95;095_R_VILOAM_20140626_150000_010;1,092;8655;;;;;
95;095_R_VILOAM_20140626_150000_030;1,21;8738;;;;;
96;096_L_MORTCE_20140626_210000_005;0,332;2249;;;;;
97;097_L_MORTCE_20140626_210000_012;0,112;1043;;;;;
98;098_L_MORTCE_20140620_230000_013;0,172;4358;;;;;
98;098_L_ROSSAM_20140622_050000_004;0,052;8222;;;;;
98;098_L_MOIRAM_20140626_000000_002;0,111;1020;;;;;
98;098_R_MOIRAM_20140626_180000_012;0,201;6832;;;;;
98;098_R_MORTCE_20140701_100000_017;0,071;5563;;;;;
98;098_R_MORTCE_20140701_110000_023;0,077;4808;;;;;
99;099_R_VILOAM_20140704_170000_004;0,17;3698;;;;;
99;099_R_VILOAM_20140704_170000_006;0,104;4293;;;;;
99;099_R_VILOAM_20140704_170000_009;0,126;4345;;;;;
100;100_R_VILOAM_20140620_150000_011;0,2;2976;;;;;
100;100_R_VILOAM_20140622_120000_017;0,228;3946;;;;;
100;100_R_VILOAM_20140622_130000_008;0,182;4007;;;;;
100;100_R_VILOAM_20140622_150000_010;0,231;3988;;;;;
100;100_R_VILOAM_20140622_170000_042;0,202;3547;;;;;
100;100_R_VILOAM_20140622_190000_017;0,237;4268;;;;;
101;101_R_GRANAM_20140622_110000_002;0,252;3525;;;;;
101;101_R_GRANAM_20140622_140000_002;0,135;1011;;;;;
101;101_R_GRANAM_20140622_150000_004;0,135;1095;;;;;
101;101_R_GRANAM_20140622_170000_006;0,082;934;;;;;
101;101_R_GRANAM_20140622_160000_001;0,05;935;;;;;
101;101_R_GRANAM_20140622_170000_028;0,174;932;;;;;
102;102_R_ROSSAM_20140620_150000_003;0,948;8119;;;;;
102;102_R_ROSSAM_20140626_020000_007;0,246;4354;;;;;
103;103_L_VILOAM_20140626_000000_035;0,147;2654;;;;;
103;103_L_VILOAM_20140701_140000_006;0,163;2554;;;;;
103;103_R_GRANAM_20140622_000000_005;0,125;3047;;;;;
103;103_R_VILOAM_20140620_000000_013;0,114;2078;;;;;
103;103_R_VILOAM_20140626_000000_005;0,335;2009;;;;;
103;103_R_VILOAM_20140704_130000_012;0,106;1651;;;;;
104;104_L_ROSSAM_20140622_130000_017;0,166;9013;;;;;
104;104_L_ROSSAM_20140622_140000_008;0,078;10708;;;;;
104;104_L_ROSSAM_20140622_140000_009;0,087;10732;;;;;
104;104_R_VILOAM_20140626_160000_006;0,141;8855;;;;;
104;104_R_VILOAM_20140626_160000_012;0,156;8224;;;;;
104;104_R_VILOAM_20140626_160000_029;0,147;8758;;;;;
105;105_L_GRANAM_20140701_090000_014;2,375;7728;;;;;
105;105_L_MORTCE_20140622_110000_022;0,356;7286;;;;;
105;105_L_VILOAM_20140626_170000_004;0,305;4019;;;;;
105;105_L_VILOAM_20140701_170000_028;0,229;8154;;;;;
105;105_L_VILOAM_20140626_180000_021;0,326;4159;;;;;
105;105_R_BEARAV_20140626_130000_006;0,198;6935;;;;;
106;106_L_MOIRAM_20140704_010000_012;0,128;1589;;;;;
106;106_L_VILOAM_20140626_110000_008;0,091;2053;;;;;
106;106_R_GRANAM_20140626_170000_004;0,122;1506;;;;;
106;106_R_GRANAM_20140701_140000_002;0,118;541;;;;;
106;106_R_GRANAM_20140704_110000_004;0,312;796;;;;;
106;106_R_GRANAM_20140704_150000_002;0,581;573;;;;;
107;107_R_VILOAM_20140704_120000_001;0,705;4631;;;;;
107;107_R_VILOAM_20140704_150000_001;0,404;3410;;;;;
108;108_L_MORTCE_20140620_050000_016;0,061;1682;;;;;
108;108_R_VILOAM_20140704_120000_015;0,088;1632;;;;;
108;108_R_VILOAM_20140704_120000_018;0,208;1633;;;;;
108;108_R_VILOAM_20140704_120000_021;0,06;1631;;;;;
108;108_R_VILOAM_20140704_120000_024;0,179;1637;;;;;
108;108_R_VILOAM_20140704_120000_026;0,127;1630;;;;;
109;109_L_MORTCE_20140620_080000_004;0,054;1392;;;;;
109;109_L_VILOAM_20140622_120000_006;0,214;2765;;;;;
109;109_R_MOIRAM_20140620_020000_008;0,243;2653;;;;;
109;109_R_MORTCE_20140626_040000_012;0,14;1800;;;;;
109;109_R_VILOAM_20140701_150000_034;0,182;5125;;;;;
109;109_R_VILOAM_20140704_140000_006;0,25;2322;;;;;
110;110_L_MORTCE_20140704_060000_003;0,034;9450;;;;;
110;110_R_VILOAM_20140620_110000_008;0,074;3975;;;;;
110;110_R_VILOAM_20140620_110000_010;0,08;4153;;;;;
110;110_R_VILOAM_20140620_110000_019;0,055;3972;;;;;
111;111_L_GRANAM_20140704_050000_009;0,384;9730;;;;;
111;111_L_MORTCE_20140626_070000_006;0,04;7154;;;;;
111;111_L_MORTCE_20140626_090000_003;0,029;6034;;;;;
111;111_R_ROSSAM_20140626_030000_004;0,291;11688;;;;;
111;111_R_ROSSAM_20140626_030000_007;0,258;11674;;;;;
111;111_R_ROSSAM_20140626_030000_008;0,23;11688;;;;;
112;112_R_VILOAM_20140701_150000_001;4,474;5059;;;;;
112;112_R_VILOAM_20140701_150000_008;5,485;5185;;;;;
112;112_R_VILOAM_20140701_150000_013;5,557;5092;;;;;
112;112_R_VILOAM_20140701_150000_014;5,315;5101;;;;;
112;112_R_VILOAM_20140701_150000_018;5,237;5060;;;;;
112;112_R_VILOAM_20140701_150000_032;4,789;5074;;;;;
113;113_L_MORTCE_20140622_090000_005;4,69;3550;;;;;
113;113_L_MORTCE_20140622_090000_012;3,653;3434;;;;;
114;114_L_MORTCE_20140626_120000_007;3,738;3276;;;;;
115;115_R_GRANAM_20140701_130000_002;0,562;567;;;;;
115;115_R_GRANAM_20140701_130000_007;0,502;559;;;;;
115;115_R_GRANAM_20140701_130000_008;0,604;564;;;;;
115;115_R_GRANAM_20140701_130000_010;0,4;565;;;;;
115;115_R_GRANAM_20140701_130000_014;0,4;565;;;;;
115;115_R_GRANAM_20140701_130000_019;0,182;562;;;;;
116;116_R_MORTCE_20140626_180000_002;0,288;3171;;;;;
116;116_R_MORTCE_20140626_180000_002;0,26;3199;;;;;
116;116_R_MORTCE_20140626_180000_002;0,302;3258;;;;;
117;117_R_GRANAM_20140620_090000_014;0,486;1922;;;;;
118;118_R_VILOAM_20140701_140000_001;2,924;5241;;;;;
118;118_R_VILOAM_20140701_160000_008;5,484;5642;;;;;
118;118_R_VILOAM_20140701_160000_016;5,833;5653;;;;;
118;118_R_VILOAM_20140701_160000_021;5,57;5645;;;;;
118;118_R_VILOAM_20140701_160000_026;2,091;5932;;;;;
118;118_R_VILOAM_20140701_160000_029;1,394;5459;;;;;
119;119_L_MORTCE_20140620_030000_004;0,187;6057;;;;;
119;119_L_MORTCE_20140620_030000_007;0,273;6111;;;;;
119;119_R_ROSSAM_20140622_050000_013;0,063;6582;;;;;
119;119_R_VILOAM_20140626_160000_016;0,4;6434;;;;;
119;119_R_VILOAM_20140626_160000_019;0,251;6689;;;;;
119;119_R_VILOAM_20140626_160000_031;0,261;6429;;;;;
120;120_L_MORTCE_20140620_230000_006;0,134;12972;;;;;
121;121_L_VILOAM_20140622_140000_025;0,552;4764;;;;;
121;121_L_VILOAM_20140622_140000_026;1,838;4754;;;;;
121;121_R_VILOAM_20140622_190000_012;0,12;5149;;;;;
121;121_R_VILOAM_20140622_190000_024;0,081;5055;;;;;
122;122_L_MORTCE_20140626_120000_003;0,191;13332;;;;;
122;122_R_MOIRAM_20140620_140000_003;0,311;17529;;;;;
123;123_L_MORTCE_20140626_120000_015;0,212;13323;;;;;
124;124_L_VILOAM_20140620_130000_001;0,149;7320;;;;;
125;125_L_VILOAM_20140626_120000_010;2,275;5608;;;;;
126;126_L_ROSSAM_20140704_150000_002;0,044;10592;;;;;
126;126_L_VILOAM_20140620_110000_001;0,05;4388;;;;;
126;126_L_VILOAM_20140622_060000_011;0,049;3958;;;;;
126;126_L_VILOAM_20140620_210000_001;0,059;4052;;;;;
126;126_L_VILOAM_20140622_170000_029;0,061;4738;;;;;
126;126_L_VILOAM_20140704_130000_002;0,055;4790;;;;;
127;127_L_ROSSAM_20140620_070000_002;0,476;3728;;;;;
128;128_R_VILOAM_20140704_160000_004;10;2405;;;;;
